-375581293#1,369977729#1
-37691265#0,510208228
-49728145#1,129211853
4475687,4385390#3
140310097#0,-306917251#1
-11685019#3,13998367
474506101#0,125814738#1
35078321#0,14327271
310196056,500705461
29554175#0,-369214165#5
-376394516#2,233718298#0
-449556613#3,-229143734
-31992882#0,-365945819#1
-368646808,-3285420#0
-52321641#5,80450010
44402154#0,-528915436#1
-548793704#1,-31992225#0
44432110#1,44402155
-31008101,-111746915
-64272136#2,-368990036#1
-39247678#0,30999988#0
-65740539#2,228557865#0
12854626#3,gneE55
49728142#1,22566802#0
25553646,22566801#1
14047501#4,-231618293
-300664821#2,-125814491#0
308731562#1,9189208#0
128946815#1,-4287188#3
-3936651,-49728145#3
156375816#3,4934444#2
-31350775#5,-13904687
-662531575#0,-317554424#3
-379667727#0,4401781#0
-4926209#1,226405267#0
317101094#13,4475686#0
-24753758,222609066#3
-283771398#0,3791747#1
8232242#6,-23501248#3
14678903,128570155
230751235#0,24775646
-121166756#0,-4834969#1
31660342,31897261#2
-3391854#2,41592120#0
-317219096#0,67138618
-231618293,-136551030#1
-23076523#5,94838278#1
228373561,-33238661
-7989929#0,-33466813
30999758,-369652831
-37692391#1,13904645#2
-481221027#1,-129217478#2
292236197,60067109
442928296#0,-26452026#2
20848430#1,13873181#0
32015770,-4078064#3
-44409754,gneE49
227711232,153341564#0
317027067,-4263428#2
-23395388#2,44398142#1
-129211791#2,38864096#0
-127359210#3,-43538577#3
14039609#2,20848455#0
55668416,-150800558#2
13904708#2,9186547#0
-26452026#0,7919282#0
22820608#2,-30397894#2
-135170590,-30047549#2
-22999125#6,2294451
52879957#1,4408238#2
129211826#1,22566801#0
3788281#0,18928030#0
-22566799#4,405573991
-3788262#0,-368646813#7
369977727#1,-43175828#2
114208223#2,13866326#2
-6653000#4,-112410779#0
-2294450#2,38122987#1
44069390#0,4540072#0
228557867#0,30999830#1
-85418329,52241891#1
23395388#3,25535969#2
63919918,-41592110
81982578#0,39523885#10
-107851480,192108787#0
129211811#0,-627577866#2
-22566803,-30046887#1
37721991,-37721078#9
77499348#0,-52881850#1
45619579#0,63922620
-23307468#3,581774894#1
-317554422,666320561#0
-556290239#1,52321641#0
31992219#1,-67137779#0
-45619551,-317770299
-128521421#1,8232242#4
75450419#0,15464769#2
218851685#0,-38864100#1
-20848460#1,372245390#1
4074533,gneE64
8468553#1,-376394520#0
4571527#1,37865180#0
-31897169#4,-385558485#0
7919275#1,218851685#0
-316970042#1,31992369
-442928297,-530413782
-48482253#1,-25731441
-486622513,7989950#1
13866327#0,4215658#1
-228665722,13904675#0
gneE59,13872468#3
27018155,-48455136#3
-306917251#1,-38554251
-67137779#0,528915436#0
-12341218#11,14047194#1
-40260270#1,-113552215
38375201#0,80479201#0
-7988564#1,129211789#4
25094727#2,3936652#2
-228731431#1,31008971#1
326772509#1,317697975#0
-228818579#1,-25731440#0
-13904695#2,-13872468#4
-10893184#2,-50503783#3
-7989930#1,-33854575#1
-481402022,-140673640
-235444345,12341232#0
4401787,231629129
-16548865#7,-129211806#3
-3754032#5,-4825310#2
-228818582,14047501#4
360313821,3789578
77799819,-379667727#4
-581774894#1,4628791#0
-658163878#0,-80479202#0
-102694945,64233363#0
125813654#4,585051345#0
129211823#0,-49728145#0
8232242#9,-44398143
45530928#1,-4287187#8
57058232#0,486622509#2
22566801#0,-423711652#0
-285991276,360313819#4
-354359921#2,44409737#0
326772508#2,-32015967
30460985#1,3266486#0
481221027#2,25539084#0
-138744440,60067101
-234244114#2,240027181#0
-55668395#1,-8023824#5
-13866344#2,-13904703
-307879664,55668414#1
20848447#0,-32456070#1
gneE16,3791210#1
162745564#2,3979042#1
14039949#0,38122987#0
363394751,3789572
3708643#3,-13866265
3785445#1,-81310503
2110697#0,-37865178
13983801#2,-64265660#1
317127417#0,-5825854#1
231340190#0,13904677#0
125880830#4,4628794#3
-4934662#2,-4287187#4
4934504#2,-3792665#0
362985327#0,129211818#2
37883349#0,-2683910
-4287187#4,-362967234#0
4215580#3,129211785#0
31992369,-30047548
-128396775,37883349#0
-24600987#1,49728143
-129211810#0,-4215580#2
-4825310#5,632121623#0
44658727#10,426154661#4
-63921278#1,14332142#0
20485040#7,-293292694
-4825259#2,303325200#0
4628794#3,-13866376#4
-110403089#1,394744908#1
22977599#2,32631503#0
-4934596#0,-13904682#3
-4215662,129211816#2
129211789#0,20686399#5
-23567537#1,125814738#1
-285991276,4919615#0
-22977599#1,-368646813#4
-3191572#3,231647444#0
-41772644#0,317145973#0
401904746#0,80478293#0
-132759854#2,5826896#1
3754032#5,-54451008#0
547766101#3,-38864104
-4825332,375778079#1
13904654#0,-30583814#1
-200170059#1,-4215606#4
136553370#1,-13878201#1
-4396161#1,401904746#2
-30397885#2,-97092770#0
3708578#0,240027181#0
94838278#1,63921273#0
-40260272#1,-43175828#0
30988143#2,-636824321
369652831,24769545#1
114208221#0,-310196056
38918794#0,13904686#0
-426154661#0,317149206
-38122989,419502786#0
3708878#1,-48226179#2
228818581,-556290239#0
-39476010#1,-486622512
-49728142#1,-536154972
-80450007,32015775
53750891#0,31992314#0
129217466,369154722#2
668344588,14039614
129211812#5,151482075#0
115656105,-369154722#0
10892467#1,4385407#0
4926027#3,-554991019
405573991,-32016067#0
4934662#9,-52241891#0
gneE43,3792665#0
-405546346,137329785#0
-32456070#0,-4215580#2
3809981#1,31008971#1
-30046887#4,67137779#1
50502869#7,-14047190#0
-55668404#1,52375067#0
636824322#1,gneE24
-563891690#1,38265427
94838283#4,gneE33
39178091#2,4834895#1
41592112#1,-129211834#4
gneE27,14678903
-39523885#7,125814461#0
344354262,-129211826#1
-202177751#0,3789251#0
143866293#0,-360313823#1
129212229#0,528915436#0
3285419#2,-128521573#0
-528915436#1,30047539#1
37722158,22999104#0
48482641#0,-369359214
64272633#1,-22999061#0
41851537#0,-368646813#0
81982578#9,-23567534#8
-10892466#2,48226179#2
-481221027#3,7664730#4
44658727#10,308090005
-369977727#0,30988140
-129298404#3,-44069390#2
4825317#3,-32631389#0
-25638749#0,-160963287#2
-376394515,-27018155
375772042#2,31008937#0
-128396774#7,-4926189#10
-440221988#9,-20848429
23307470,-30459572#5
59416357#2,gneE49
30454721#5,64233363#0
-658163878#0,3708464#0
30454721#6,440221988#4
234244114#0,148087226#2
486622512,-317554422
-15464769#0,24953717
30583802#0,4215658#1
gneE58,52242742#0
-375758262#2,-37866821#3
22566801#1,-64267110
-13904691#1,8692149#0
-30655095#5,-4571527#3
15464767#0,129211857#2
368646813#11,-59172069#2
-20485040#5,4395994#2
362985328#1,4834964#0
-80448023#1,4287291#2
-25731440#0,148087226#2
81982570#0,-48985679
4629003#4,20848447#0
-523892327#0,-306917251#0
127359208#0,-8232242#8
37747500#3,44409741#1
-22566801#4,-40260270#0
-68748138#1,-3708641#1
41502636#0,32631726#0
20484463#0,64265663
-3708542#1,25631272#0
228818579#2,-33238656
-334138117#1,10892468#0
521969636,-129211806#1
23307468#3,229542375
-85418329,-52324405
43321720#0,240818350#0
-25536468,7989949#0
52242738,332207648#5
372838330#1,64272629
-13904698,-370154352#0
-130277328#1,-282195032#4
-94838283#2,372838323#1
129211827#2,4396062#0
4215594,58403844#0
-3763679#0,-368505007#1
372256216#1,129211833
148087226#2,310303150
7989926#0,33238677#1
4919535#1,7990021#0
4926036#0,-279585244#1
52881501,-55814729#3
-64272136#2,-30047536#0
-13904669,25535969#0
-520012239#1,231771701#0
52375065#0,-29266714#4
8384431#0,4215595#0
-30999830#1,525228766#3
-129211812#1,-32491858#1
37747645,-4385390#2
4829626#0,30047539#1
25539095#0,3708465#2
114208059#0,191042863
14047770#0,-125873172#13
357012332#0,-25638749#1
-110403100,4919459#0
45530929#1,-64270139#0
25553646,-31992222
4541293#8,22999125#4
4395970,-31982258#2
38574540,55668416
31986265,-4287295#2
-4396161#1,128570947
33238680#0,-14152308
-3708464#4,-191042861
29554123#2,-22820549#1
-38574621#0,77499031#1
49974590#0,-13904706#4
